time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
7334.211362	5.589863	1.913759	2.920881	193
7335.229842	6.021067	1.912975	3.147489	194
7336.281409	5.877471	1.911893	3.074164	195
7337.293838	6.233075	1.923265	3.240883	196
7338.340721	5.581233	1.924557	2.900009	197
7339.367016	5.979180	1.923829	3.107959	198
7340.397088	6.036976	1.910383	3.160087	199
7341.444978	5.676682	1.880298	3.019033	200
7342.467941	5.781321	1.912260	3.023293	201
7343.510536	5.927085	1.913706	3.097176	202
7344.526872	6.142885	1.903216	3.227634	203
7345.585616	5.593807	1.919750	2.913821	204
7346.593315	6.328482	1.918077	3.299389	205
7347.645060	5.584122	1.894331	2.947807	206
7348.673887	6.159813	1.886800	3.264688	207
7349.713671	5.507897	1.904626	2.891853	208
7350.738918	6.248555	1.917586	3.258553	209
7351.778188	5.712229	1.924579	2.968041	210
7352.814019	6.110043	1.870709	3.266164	211
7353.834886	5.616429	1.913566	2.935059	212
7354.889285	6.155331	1.912383	3.218671	213
7355.900823	5.888061	1.891600	3.112742	214
7356.959668	5.811995	1.917805	3.030545	215
7357.963120	5.914681	1.922284	3.076903	216
7359.030035	5.863634	1.902258	3.082459	217
7360.022149	6.148276	1.911585	3.216324	218
7361.105796	5.624093	1.871328	3.005403	219
7362.090678	6.101637	1.921628	3.175244	220
7363.173757	5.656048	1.884822	3.000840	221
7364.159270	6.073256	1.854811	3.274327	222
7365.238658	5.776828	1.925813	2.999684	223
7366.225417	6.252047	1.913576	3.267206	224
7367.300003	5.655945	1.915269	2.953081	225
7368.302799	6.156528	1.923000	3.201524	226
7369.368000	5.779422	1.912592	3.021775	227
7370.369436	6.198290	1.894067	3.272477	228
7371.444034	5.646580	1.908722	2.958304	229
7372.427679	6.066370	1.903097	3.187630	230
7373.505871	5.779225	1.893385	3.052324	231
7374.504825	5.967924	1.888169	3.160694	232
7375.569323	6.047010	1.920969	3.147896	233
7376.568251	5.918651	1.902360	3.111216	234
7377.641357	6.033758	1.908154	3.162093	235
7378.638997	5.694521	1.918611	2.968043	236
7379.696063	6.397652	1.919861	3.332351	237
7380.721253	5.724834	1.913098	2.992441	238
7381.763875	6.314979	1.905139	3.314708	239
7382.789697	5.532098	1.899877	2.911819	240
7383.826286	6.391717	1.924616	3.321036	241
7384.861105	5.387014	1.836555	2.933217	242
7385.881604	6.410445	1.909789	3.356625	243
7386.940795	5.610344	1.894720	2.961041	244
7387.947131	6.237989	1.891631	3.297678	245
7388.999081	5.633123	1.854980	3.036757	246
7390.023560	6.122743	1.897622	3.226534	247
7391.066755	5.855060	1.916604	3.054914	248
7392.086105	6.141751	1.915733	3.205954	249
7393.131703	5.973577	1.910061	3.127428	250
7394.163636	5.963097	1.917354	3.110066	251
7395.196724	6.110292	1.905871	3.206037	252
7396.226510	5.981435	1.894487	3.157285	253
7397.261179	6.120290	1.913571	3.198361	254
7398.305140	5.893569	1.925247	3.061203	255
7399.327119	6.164103	1.906480	3.233238	0
