time (s)	coil I (A)	last det (V)	int current (uC)
7866.143180	1.160753	0.182603	514.213684
7866.144070	0.699598	0.182603	1136.856201
7866.145030	0.086602	0.182603	1219.993652
7866.145946	0.084858	0.182603	1297.723999
7866.146837	0.084888	0.182603	1373.358887
7866.147741	0.084880	0.182603	1450.090698
7866.148689	0.084833	0.182603	1530.512207
7866.149595	0.084928	0.182603	1607.456909
7866.150486	0.084943	0.182603	1683.140747
7866.151425	0.084943	0.182603	1762.901855
7866.152342	0.084910	0.182603	1840.764038
7866.153261	0.084895	0.182603	1918.782593
7867.191774	1.176002	0.197677	531.553040
7867.192670	0.678333	0.197677	1139.338989
7867.193614	0.087847	0.197677	1222.266235
7867.194528	0.084873	0.197677	1299.840210
7867.195432	0.084851	0.197677	1376.545532
7867.196324	0.084847	0.197677	1452.229370
7867.197255	0.084946	0.197677	1531.314331
7867.198154	0.084917	0.197677	1607.654663
7867.199057	0.084902	0.197677	1684.321533
7867.199942	0.084836	0.197677	1759.401733
7867.200884	0.084935	0.197677	1839.410767
7867.201791	0.084873	0.197677	1916.390625
7868.207565	1.160167	0.183787	510.473572
7868.208544	0.572512	0.183787	1070.963013
7868.209458	0.086067	0.183787	1149.628174
7868.210389	0.084789	0.183787	1228.566528
7868.211282	0.084862	0.183787	1304.348389
7868.212240	0.084891	0.183787	1385.674316
7868.213163	0.084957	0.183787	1464.089844
7868.214053	0.084921	0.183787	1539.669189
7868.214989	0.084906	0.183787	1619.141235
7868.215895	0.084825	0.183787	1695.993042
7868.216811	0.084877	0.183787	1773.740112
7868.217706	0.084902	0.183787	1849.727661
7869.260777	1.185527	0.194756	545.342651
7869.261700	0.633267	0.194756	1129.847778
7869.262589	0.087052	0.194756	1207.237061
7869.263518	0.084862	0.194756	1286.073975
7869.264421	0.084946	0.194756	1362.780518
7869.265325	0.084869	0.194756	1439.502441
7869.266215	0.084910	0.194756	1515.072021
7869.267156	0.084910	0.194756	1594.972046
7869.268057	0.084888	0.194756	1671.455811
7869.268963	0.084917	0.194756	1748.390625
7869.269850	0.084910	0.194756	1823.705566
7869.270784	0.084979	0.194756	1903.076172
7870.279668	1.209001	0.181994	576.693665
7870.280600	0.581276	0.181994	1118.442627
7870.281488	0.086616	0.181994	1195.357788
7870.282440	0.084789	0.181994	1276.076782
7870.283377	0.084866	0.181994	1355.595947
7870.284282	0.084932	0.181994	1432.459106
7870.285206	0.084829	0.181994	1510.841187
7870.286138	0.084928	0.181994	1589.994019
7870.287047	0.084891	0.181994	1667.160278
7870.287942	0.084946	0.181994	1743.187256
7870.288879	0.084851	0.181994	1822.692749
7870.289812	0.084943	0.181994	1901.944214
7871.323086	1.169465	0.194204	519.242615
7871.324061	0.582469	0.194204	1087.150391
7871.324965	0.086345	0.194204	1165.206421
7871.325866	0.084979	0.194204	1241.772705
7871.326759	0.084844	0.194204	1317.538208
7871.327682	0.084972	0.194204	1395.967285
7871.328577	0.084866	0.194204	1471.922119
7871.329468	0.084935	0.194204	1547.599487
7871.330399	0.084913	0.194204	1626.653809
7871.331314	0.084917	0.194204	1704.352905
7871.332211	0.084840	0.194204	1780.454468
7871.333098	0.084917	0.194204	1855.775879
7872.351693	1.177559	0.178752	520.480896
7872.352666	0.570850	0.178752	1075.917480
7872.353579	0.086096	0.178752	1154.523315
7872.354469	0.084840	0.178752	1230.031006
7872.355392	0.084760	0.178752	1308.264038
7872.356321	0.084822	0.178752	1387.063477
7872.357250	0.084778	0.178752	1465.822021
7872.358144	0.084888	0.178752	1541.711670
7872.359060	0.084851	0.178752	1619.435303
7872.359991	0.084873	0.178752	1698.452148
7872.360909	0.084943	0.178752	1776.429443
7872.361805	0.084913	0.178752	1852.511841
7873.389030	1.199154	0.200311	556.407532
7873.389935	0.646392	0.200311	1141.391968
7873.390889	0.086719	0.200311	1224.121704
7873.391787	0.084844	0.200311	1300.311401
7873.392710	0.084880	0.200311	1378.656006
7873.393600	0.084829	0.200311	1454.153931
7873.394529	0.084851	0.200311	1532.980591
7873.395435	0.084873	0.200311	1609.875610
7873.396329	0.084891	0.200311	1685.768433
7873.397264	0.084921	0.200311	1765.169189
7873.398173	0.084836	0.200311	1842.285522
7873.399089	0.084855	0.200311	1920.012451
7874.420191	1.172853	0.182244	531.302307
7874.421087	0.673777	0.182244	1135.006348
7874.422017	0.087649	0.182244	1216.519897
7874.422953	0.084818	0.182244	1295.909668
7874.423868	0.084921	0.182244	1373.612061
7874.424765	0.084851	0.182244	1449.723511
7874.425679	0.084858	0.182244	1527.284058
7874.426618	0.084840	0.182244	1606.948853
7874.427536	0.084913	0.182244	1684.899292
7874.428426	0.084935	0.182244	1760.491699
7874.429370	0.084836	0.182244	1840.577271
7874.430301	0.084862	0.182244	1919.583862
7875.451350	1.166499	0.203852	519.092041
7875.452256	0.677080	0.203852	1132.526611
7875.453143	0.087828	0.203852	1210.430420
7875.454111	0.084880	0.203852	1292.594604
7875.455017	0.084836	0.203852	1369.456421
7875.455910	0.084899	0.203852	1445.270996
7875.456826	0.084899	0.203852	1523.038208
7875.457744	0.084847	0.203852	1600.928101
7875.458637	0.084858	0.203852	1676.706665
7875.459526	0.084862	0.203852	1752.149048
7875.460455	0.084939	0.203852	1831.057373
7875.461359	0.084771	0.203852	1907.689941
7876.494295	1.169883	0.174457	527.617126
7876.495191	0.685247	0.174457	1141.598145
7876.496134	0.087708	0.174457	1224.306396
7876.497049	0.084884	0.174457	1301.975342
7876.497948	0.084829	0.174457	1378.236694
7876.498838	0.084913	0.174457	1453.809570
7876.499788	0.085009	0.174457	1534.567627
7876.500685	0.084998	0.174457	1610.810425
7876.501589	0.084921	0.174457	1687.578735
7876.502494	0.084917	0.174457	1764.428589
7876.503420	0.084961	0.174457	1843.102417
7876.504334	0.084880	0.174457	1920.683105
7877.515246	1.209236	0.194188	569.550049
7877.516158	0.623632	0.194188	1138.302002
7877.517048	0.087173	0.194188	1215.885864
7877.518010	0.084796	0.194188	1297.459717
7877.518933	0.084862	0.194188	1375.787354
7877.519823	0.084961	0.194188	1451.402588
7877.520770	0.084983	0.194188	1531.881348
7877.521670	0.084884	0.194188	1608.276978
7877.522587	0.084932	0.194188	1686.159302
7877.523486	0.084924	0.194188	1762.506226
7877.524437	0.084910	0.194188	1843.255371
7877.525356	0.084847	0.194188	1921.230103
7878.564814	1.163210	0.185290	511.812561
7878.565753	0.674630	0.185290	1145.290283
7878.566657	0.087012	0.185290	1223.948853
7878.567565	0.084814	0.185290	1300.960327
7878.568457	0.084902	0.185290	1376.693237
7878.569405	0.084917	0.185290	1457.194580
7878.570300	0.084888	0.185290	1533.169067
7878.571204	0.084884	0.185290	1609.904297
7878.572096	0.084884	0.185290	1685.620850
7878.573048	0.084939	0.185290	1766.482788
7878.573955	0.084983	0.185290	1843.562256
7878.574856	0.084825	0.185290	1919.989990
7879.580618	1.163756	0.201854	507.397675
7879.581592	0.585784	0.201854	1077.950928
7879.582517	0.086071	0.201854	1157.566162
7879.583415	0.084891	0.201854	1233.798584
7879.584334	0.084891	0.201854	1311.813721
7879.585273	0.084921	0.201854	1391.554199
