time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6863.434277	40.923111	-0.621285	-0.209877	163
6865.502893	40.918221	-0.623227	-0.208610	165
6867.575931	41.203316	-0.624571	-0.207192	167
6869.641825	41.483379	-0.626915	-0.205971	169
6871.710254	41.925434	-0.629110	-0.204613	171
6873.775570	42.377148	-0.632197	-0.203348	173
6875.844034	42.563282	-0.631710	-0.201483	175
6877.913175	43.085114	-0.632808	-0.200170	177
6879.982500	43.184578	-0.634027	-0.198320	179
6882.053742	43.099697	-0.634917	-0.196897	181
6884.127600	43.088730	-0.637604	-0.195635	183
6886.195505	43.021523	-0.639488	-0.194349	185
6888.268855	42.947266	-0.641042	-0.192970	187
6890.337115	43.104950	-0.643364	-0.191623	189
6892.406320	43.213840	-0.645400	-0.190537	191
6894.477421	43.361382	-0.646292	-0.189412	193
6896.543704	43.675915	-0.648939	-0.188846	195
6898.614527	43.890999	-0.650846	-0.187602	197
6900.681095	44.217758	-0.651998	-0.186151	199
6902.749787	44.573429	-0.653220	-0.184694	201
6904.817927	44.801086	-0.654378	-0.183543	203
6906.887690	44.832264	-0.656164	-0.182636	205
6908.958303	44.783539	-0.657591	-0.181766	207
6911.030288	44.630219	-0.660216	-0.180832	209
6913.101963	44.419247	-0.661858	-0.180070	211
6915.173111	44.197807	-0.663606	-0.178840	213
6917.243544	44.160698	-0.664681	-0.177409	215
6919.311685	44.162876	-0.666470	-0.176236	217
6921.382096	44.236557	-0.667982	-0.174892	219
6923.449587	44.506489	-0.669968	-0.173934	221
6925.519343	44.660664	-0.671794	-0.172909	223
6927.587730	44.855759	-0.672788	-0.171738	225
6929.658207	44.992680	-0.674045	-0.170543	227
6931.727442	45.050987	-0.675194	-0.169680	229
6933.797028	45.092762	-0.677240	-0.169174	231
6935.867274	45.110771	-0.678329	-0.168095	233
6937.936901	45.207169	-0.679528	-0.167463	235
6940.006094	45.408409	-0.681487	-0.166664	237
6942.074823	45.597115	-0.683264	-0.165935	239
6944.141746	45.771957	-0.685086	-0.164974	241
6946.209386	46.063244	-0.687196	-0.164344	243
6948.276246	46.317707	-0.688880	-0.163374	245
6950.343986	46.495129	-0.689500	-0.162306	247
