time (s)	det(V)
7828.592345	0.003080	
7828.593831	0.002412	
7828.595379	0.001699	
7828.596868	0.001441	
7828.598411	0.001788	
7828.599903	0.001046	
7828.601447	0.000478	
7828.602955	0.001340	
7828.604478	0.001505	
7828.606004	0.000962	
7828.607518	0.000531	
7828.609040	0.001574	
7828.610521	0.001135	
7828.612067	0.000079	
7828.613553	0.000531	
7828.615101	0.000740	
7828.616584	-0.000065	
7828.618126	-0.000464	
7828.619614	0.000450	
7828.621147	0.001252	
7828.622647	0.000720	
7828.624173	0.000112	
7828.625688	0.000768	
7828.627175	0.000208	
7828.628729	-0.000569	
7828.630225	0.000067	
7828.631773	0.000398	
7828.633271	-0.000283	
7828.634800	-0.000642	
7828.636304	-0.000054	
7828.637826	0.000603	
7828.639344	0.000023	
7828.640865	-0.000146	
7828.642386	0.000728	
7828.643866	0.000063	
7828.645414	-0.000686	
7828.646902	-0.000476	
7828.648442	-0.000162	
7828.649932	-0.000718	
7828.651467	-0.001121	
7828.652961	-0.000436	
7828.654503	0.000067	
7828.656017	-0.000787	
7828.657534	-0.000670	
7828.659052	0.000192	
7828.660536	-0.000444	
7828.662081	-0.000859	
7828.663574	-0.000738	
7828.665102	-0.000106	
7828.666599	-0.001242	
7828.668116	-0.001548	
7828.669628	-0.001117	
7828.671151	-0.000376	
7828.672674	-0.001250	
7828.674159	-0.001536	
7828.675708	-0.000565	
7828.677188	-0.000984	
7828.678725	-0.001939	
7828.680215	-0.001758	
7828.681746	-0.001447	
7828.683246	-0.002205	
7828.684759	-0.002881	
7828.686270	-0.001886	
7828.687793	-0.001552	
7828.689334	-0.002136	
7828.690819	-0.002462	
7828.692361	-0.001854	
7828.693848	-0.002503	
7828.695397	-0.003397	
7828.696884	-0.003204	
7828.698417	-0.002728	
7828.699910	-0.003888	
7828.701437	-0.004614	
7828.702932	-0.003812	
7828.704436	-0.003341	
7828.705954	-0.004070	
7828.707436	-0.004356	
7828.708987	-0.003828	
7828.710471	-0.004364	
7828.712001	-0.005306	
7828.713487	-0.005399	
7828.715011	-0.004976	
7828.716518	-0.006571	
7828.718045	-0.006511	
7828.719568	-0.006156	
7828.721051	-0.005717	
7828.722614	-0.006680	
7828.724096	-0.007494	
7828.725653	-0.006531	
7828.727133	-0.007184	
7828.728674	-0.008046	
7828.730162	-0.008017	
7828.731693	-0.007752	
7828.733210	-0.008529	
7828.734693	-0.009278	
7828.736254	-0.008803	
7828.737749	-0.008481	
7828.739300	-0.009125	
7828.740787	-0.009774	
7828.742343	-0.009089	
7828.743830	-0.009770	
7828.745358	-0.010475	
7828.746865	-0.010515	
7828.748394	-0.010285	
7828.749920	-0.011438	
7828.751409	-0.011788	
7828.752944	-0.011421	
7828.754449	-0.010986	
7828.756010	-0.012122	
7828.757490	-0.012275	
7828.759041	-0.011208	
7828.760527	-0.012251	
7828.762061	-0.013025	
7828.763555	-0.013254	
7828.765083	-0.013097	
7828.766606	-0.013770	
7828.768092	-0.014596	
7828.769630	-0.013689	
7828.771134	-0.013319	
7828.772677	-0.014088	
7828.774165	-0.015043	
7828.775699	-0.013855	
7828.777195	-0.015095	
7828.778713	-0.015921	
7828.780219	-0.016191	
7828.781735	-0.015961	
7828.783268	-0.016779	
7828.784757	-0.017601	
7828.786293	-0.017262	
7828.787802	-0.017258	
7828.789349	-0.017702	
7828.790829	-0.018221	
7828.792383	-0.017621	
7828.793868	-0.018644	
7828.795411	-0.019732	
7828.796911	-0.020135	
7828.798416	-0.019224	
7828.799955	-0.020860	
7828.801436	-0.021702	
7828.802978	-0.020948	
7828.804495	-0.021114	
7828.806055	-0.022676	
7828.807535	-0.022455	
7828.809085	-0.022548	
7828.810574	-0.023555	
7828.812106	-0.024856	
7828.813626	-0.025102	
7828.815119	-0.025279	
7828.816675	-0.026636	
7828.818169	-0.027567	
7828.819720	-0.027607	
7828.821227	-0.027668	
7828.822790	-0.029259	
7828.824274	-0.029863	
7828.825793	-0.029525	
7828.827292	-0.030822	
7828.828815	-0.032429	
7828.830332	-0.032921	
7828.831818	-0.033952	
7828.833357	-0.035172	
7828.834861	-0.036474	
7828.836407	-0.036361	
7828.837896	-0.036945	
7828.839452	-0.038335	
7828.840929	-0.038979	
7828.842482	-0.039370	
7828.843975	-0.041634	
7828.845506	-0.042725	
7828.847025	-0.043886	
7828.848515	-0.044583	
7828.850057	-0.046339	
7828.851569	-0.047688	
7828.853101	-0.048204	
7828.854592	-0.048760	
7828.856126	-0.050939	
7828.857616	-0.051991	
7828.859144	-0.052422	
7828.860646	-0.054017	
7828.862159	-0.056526	
7828.863685	-0.057389	
7828.865175	-0.058742	
